epoch,train_loss,train_acc,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,1.320134,0.509486,1.181095,0.59857,0.576781,0.350999
2,0.995714,0.621692,0.910695,0.634321,0.552063,0.520079
3,0.843183,0.684598,1.303291,0.566905,0.570242,0.428579
4,0.773021,0.711682,0.962008,0.644535,0.618123,0.461146
5,0.714715,0.729156,0.849435,0.664964,0.652142,0.47811
6,0.666776,0.749875,0.777756,0.72523,0.600173,0.533536
7,0.636274,0.759735,0.852923,0.678243,0.499347,0.42472
8,0.634445,0.761483,1.30121,0.566905,0.667126,0.530659
9,0.558373,0.790315,0.821778,0.709908,0.631797,0.569196
10,0.54958,0.78994,0.968368,0.662921,0.665245,0.566629
11,0.544517,0.795432,0.78868,0.711951,0.671615,0.600694
12,0.512384,0.811658,0.797429,0.686415,0.626247,0.584076
13,0.480862,0.810784,0.887421,0.698672,0.680475,0.573216
14,0.462778,0.82676,0.896732,0.674157,0.648503,0.585717
15,0.43145,0.8335,1.04324,0.680286,0.674337,0.557549
16,0.420877,0.842736,0.816844,0.713994,0.688146,0.596292
