epoch,train_loss,train_acc,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,1.630013,0.440589,1.386527,0.483146,0.466351,0.319687
2,1.343064,0.543809,1.014337,0.637385,0.517671,0.409454
3,1.236615,0.545057,0.929855,0.650664,0.483563,0.372272
4,1.236859,0.540564,1.225304,0.54954,0.514999,0.375484
5,1.133116,0.595731,1.010001,0.62002,0.686347,0.528985
6,1.050346,0.597479,1.045861,0.599591,0.563167,0.408887
7,1.077341,0.571018,0.977096,0.615935,0.663867,0.484257
8,1.029758,0.613455,0.865601,0.639428,0.595929,0.523966
9,1.048449,0.609461,0.904259,0.6476,0.619394,0.508648
10,0.967133,0.623065,1.031543,0.623085,0.620784,0.431106
11,0.915065,0.642411,0.834991,0.6619,0.690837,0.562648
12,0.902387,0.638667,1.114446,0.60572,0.662894,0.509566
13,0.899613,0.643285,1.026084,0.617978,0.623123,0.476863
14,0.844833,0.662132,0.942442,0.663943,0.656281,0.524211
15,0.840241,0.654144,0.81742,0.680286,0.705581,0.543224
16,0.812336,0.658762,0.875963,0.644535,0.660009,0.54067
17,0.794464,0.675487,0.809049,0.681307,0.692435,0.538856
18,0.809267,0.664254,0.961881,0.634321,0.678341,0.535672
19,0.789772,0.679106,0.843534,0.68335,0.675062,0.59267
20,0.748973,0.675612,0.826443,0.641471,0.687191,0.576667
21,0.712842,0.675986,1.171735,0.557712,0.697217,0.525434
22,0.690781,0.685971,0.728919,0.71093,0.680366,0.585112
23,0.725597,0.687469,0.775357,0.673136,0.720121,0.613166
24,0.685597,0.684348,0.663211,0.706844,0.710848,0.612509
25,0.696327,0.694583,0.729385,0.706844,0.710638,0.580565
26,0.696216,0.694583,0.759781,0.717058,0.750349,0.589855
27,0.661824,0.698827,1.024954,0.614913,0.682688,0.527649
28,0.687703,0.696331,0.76838,0.675179,0.71117,0.59631
29,0.643542,0.705691,0.683094,0.731359,0.669523,0.593936
30,0.631936,0.698577,0.672317,0.762002,0.742684,0.650297
31,0.631961,0.714428,0.857665,0.639428,0.696727,0.550004
32,0.63415,0.696331,0.683139,0.73238,0.696143,0.642105
33,0.615506,0.720045,0.793065,0.693565,0.645507,0.547889
34,0.654045,0.704194,0.931785,0.648621,0.702624,0.54422
