epoch,train_loss,train_acc,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.682427,0.756365,0.552775,0.803882,0.622139,0.610613
2,0.50205,0.818772,0.513931,0.819203,0.666129,0.695318
3,0.42455,0.847604,0.5281,0.808989,0.73139,0.699006
4,0.383969,0.863704,0.558634,0.808989,0.699646,0.682731
5,0.349777,0.876186,0.503532,0.827375,0.700894,0.702827
6,0.302221,0.88979,0.515644,0.836568,0.688614,0.708634
7,0.286483,0.897654,0.485853,0.831461,0.754571,0.745964
8,0.246842,0.911258,0.535093,0.848825,0.721233,0.746841
9,0.22913,0.918497,0.480497,0.846782,0.75462,0.75922
10,0.212929,0.924613,0.488034,0.840654,0.754941,0.747299
11,0.205111,0.924613,0.411806,0.872319,0.78636,0.790773
12,0.18976,0.931603,0.49041,0.856997,0.71438,0.71036
13,0.16185,0.941588,0.492615,0.862104,0.762568,0.773079
14,0.17284,0.94009,0.522176,0.848825,0.777666,0.758301
15,0.151131,0.945207,0.643449,0.850868,0.725679,0.74966
16,0.127875,0.954943,0.569453,0.864147,0.790795,0.776663
17,0.132947,0.952571,0.627914,0.845761,0.713882,0.738531
18,0.137222,0.950824,0.583564,0.85904,0.715408,0.739471
19,0.114845,0.959935,0.534676,0.879469,0.75953,0.788494
20,0.130178,0.954818,0.567227,0.860061,0.769373,0.773165
21,0.109587,0.962556,0.499774,0.85904,0.765913,0.775122
