epoch,train_loss,train_acc,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,1.3577,0.527708,1.079987,0.576098,0.58729,0.417222
2,1.029005,0.629056,1.091993,0.607763,0.671881,0.510369
3,0.835518,0.677733,0.8985,0.628192,0.683009,0.586222
4,0.659059,0.717049,0.747489,0.724208,0.731856,0.594675
5,0.670057,0.720669,0.838998,0.704801,0.646337,0.577879
6,0.741301,0.70307,0.962338,0.637385,0.658635,0.520016
7,0.70245,0.709561,0.828624,0.679265,0.715817,0.582727
8,0.556786,0.752496,0.670267,0.741573,0.738874,0.642637
9,0.527472,0.771842,0.812678,0.6762,0.749385,0.592458
10,0.492957,0.762856,0.82465,0.675179,0.7018,0.609395
11,0.488714,0.777708,0.642036,0.775281,0.69847,0.642219
12,0.470231,0.779206,0.767967,0.741573,0.697872,0.631954
13,0.413333,0.801048,0.672431,0.759959,0.711652,0.614883
14,0.420254,0.808038,0.679436,0.765066,0.759232,0.667398
15,0.394362,0.806415,0.731672,0.735444,0.742167,0.659931
16,0.364989,0.817149,0.667494,0.79571,0.745157,0.639539
17,0.415514,0.805916,0.689554,0.772217,0.71808,0.661315
18,0.447212,0.805042,0.796337,0.729316,0.692912,0.566027
19,0.401716,0.807788,0.658396,0.751788,0.778406,0.703386
20,0.302517,0.827384,0.693968,0.800817,0.733429,0.693703
21,0.318065,0.84311,0.783761,0.747702,0.748486,0.654559
