epoch,train_loss,train_acc,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.745629,0.737019,0.897314,0.688458,0.73286,0.623722
2,0.442696,0.84336,1.124438,0.609806,0.713692,0.625947
3,0.341955,0.871443,0.595702,0.81001,0.772072,0.711149
4,0.280914,0.899775,0.674615,0.78141,0.725581,0.673324
5,0.235564,0.911383,0.677011,0.777324,0.734113,0.723205
6,0.235163,0.917499,0.539713,0.831461,0.748666,0.718096
7,0.205961,0.928233,0.638665,0.78856,0.710541,0.687588
8,0.197853,0.928108,0.511842,0.834525,0.742585,0.74238
9,0.179624,0.93335,0.669724,0.80286,0.746539,0.719439
10,0.157946,0.94321,0.632039,0.808989,0.761583,0.691313
11,0.169938,0.942212,0.77614,0.805924,0.756274,0.704966
12,0.160657,0.941463,0.706648,0.763023,0.76136,0.729715
13,0.154924,0.945082,0.612976,0.811032,0.739861,0.724094
14,0.12513,0.955567,0.566263,0.839632,0.769764,0.753104
15,0.126036,0.954693,0.626363,0.823289,0.73322,0.701103
16,0.125943,0.957938,0.623186,0.822268,0.736647,0.707898
17,0.109693,0.960559,0.685128,0.829418,0.769704,0.749512
18,0.12155,0.958937,0.622621,0.803882,0.718843,0.691716
