epoch,train_loss,train_acc,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,2.015617,0.254743,1.586974,0.383044,0.32102,0.207796
2,1.723664,0.429481,2.020078,0.42288,0.280735,0.214572
3,1.645705,0.448577,1.390209,0.443309,0.361685,0.227771
4,1.518713,0.475786,1.19282,0.54954,0.456822,0.375259
5,1.493088,0.491388,1.204618,0.546476,0.434861,0.314068
6,1.472991,0.508362,1.083843,0.586313,0.39812,0.27411
7,1.390971,0.532701,1.891076,0.295199,0.399521,0.241119
8,1.392918,0.531078,1.336299,0.489275,0.432373,0.317954
9,1.304257,0.535696,1.005722,0.615935,0.444279,0.380284
10,1.32912,0.552671,1.214512,0.563841,0.530622,0.423435
11,1.266253,0.565527,1.088885,0.581205,0.508194,0.393816
12,1.253221,0.568772,1.008285,0.613892,0.554151,0.415404
13,1.222782,0.562282,1.162563,0.54239,0.518663,0.379893
14,1.226871,0.567524,1.120809,0.501532,0.491413,0.357883
15,1.255647,0.565652,1.241021,0.529111,0.473352,0.36341
16,1.278739,0.555667,1.156821,0.558733,0.554092,0.415175
17,1.204304,0.578008,0.986311,0.631256,0.539579,0.435124
18,1.114048,0.593235,1.044207,0.578141,0.459433,0.359655
19,1.146197,0.591862,1.065168,0.588355,0.56824,0.423714
20,1.122006,0.584623,1.039912,0.574055,0.514911,0.393122
21,1.106665,0.601098,1.074464,0.586313,0.536469,0.403082
22,1.097455,0.593984,1.006968,0.595506,0.538279,0.399258
23,1.080103,0.603095,1.086433,0.559755,0.535107,0.383581
24,1.044673,0.603719,1.08714,0.57712,0.560985,0.401575
25,1.039168,0.613205,0.964674,0.623085,0.566805,0.430335
26,1.04155,0.611333,1.074324,0.574055,0.518981,0.407261
27,1.034318,0.614453,1.156632,0.54239,0.532876,0.384694
28,1.026675,0.613455,1.010959,0.578141,0.541934,0.441697
29,1.007987,0.617449,0.899126,0.645557,0.603688,0.46882
30,1.005482,0.607089,1.251864,0.491318,0.537978,0.353464
31,0.947571,0.627933,0.8936,0.633299,0.551443,0.442958
32,0.96914,0.638917,1.16509,0.561798,0.570117,0.385323
33,0.948124,0.647903,0.86045,0.672114,0.552952,0.444593
34,0.915805,0.645781,2.067061,0.312564,0.500897,0.284799
35,0.911238,0.631802,0.826777,0.66905,0.623278,0.496554
36,0.915326,0.641163,0.819976,0.649642,0.639033,0.510587
37,0.91021,0.652022,0.972622,0.645557,0.583477,0.399271
38,0.871159,0.655642,0.967038,0.644535,0.583308,0.492681
39,0.884801,0.649651,0.939618,0.62002,0.640046,0.490269
40,0.86412,0.653894,0.785178,0.692543,0.568453,0.508788
41,0.849952,0.657514,0.875557,0.651685,0.58973,0.45594
42,0.825735,0.664254,0.990016,0.653728,0.532337,0.465846
43,0.830469,0.658887,0.896203,0.66905,0.593814,0.493121
44,0.85002,0.65664,0.910281,0.65475,0.605183,0.532486
45,0.842757,0.653769,0.939257,0.627171,0.570988,0.458103
46,0.822235,0.667499,0.776982,0.702758,0.555633,0.511168
47,0.804463,0.678857,1.005617,0.629213,0.644811,0.539575
48,0.789908,0.677733,0.932811,0.643514,0.607543,0.455566
49,0.803134,0.670994,0.791477,0.68335,0.654265,0.570519
50,0.774628,0.67661,0.856524,0.659857,0.635055,0.523813
