epoch,train_loss,train_acc,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.784256,0.715177,0.768946,0.705822,0.746928,0.580822
2,0.491441,0.824763,1.102947,0.635342,0.739605,0.631957
3,0.389693,0.858837,0.742013,0.754852,0.730964,0.672845
4,0.319421,0.886545,0.789329,0.757916,0.736695,0.661854
5,0.273031,0.902022,1.016245,0.663943,0.714712,0.630818
6,0.262495,0.905766,0.664366,0.78141,0.76568,0.660868
7,0.234212,0.915751,0.757023,0.792646,0.724377,0.677142
8,0.244063,0.914753,0.628867,0.820225,0.726341,0.70892
9,0.200186,0.928732,0.719381,0.779367,0.734881,0.690325
10,0.175928,0.936345,0.587505,0.812053,0.759574,0.714873
11,0.183448,0.93697,0.720795,0.829418,0.748389,0.724743
12,0.179089,0.939591,0.656241,0.803882,0.743792,0.722713
13,0.162072,0.942461,0.701183,0.784474,0.740893,0.716664
14,0.149442,0.946455,0.737809,0.808989,0.681021,0.654305
15,0.158185,0.94683,0.634854,0.815117,0.739973,0.718599
16,0.134664,0.953944,0.782557,0.759959,0.775711,0.737619
17,0.136758,0.949076,0.627694,0.806946,0.736976,0.723112
18,0.129243,0.955442,0.742439,0.815117,0.717833,0.706298
19,0.127577,0.955816,0.719998,0.831461,0.778844,0.760837
20,0.116639,0.96006,0.643423,0.850868,0.76573,0.771086
