epoch,train_loss,train_acc,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.819133,0.714304,0.755883,0.736466,0.400705,0.361061
2,0.686451,0.74975,0.684104,0.745659,0.319465,0.335583
3,0.628945,0.769845,0.645837,0.789581,0.558845,0.534001
4,0.596206,0.785322,0.676098,0.774259,0.464043,0.468686
5,0.579909,0.790814,0.742566,0.741573,0.599325,0.511614
6,0.544017,0.796555,0.727568,0.765066,0.572436,0.540542
7,0.534042,0.804668,0.609646,0.801839,0.608078,0.612329
8,0.513793,0.810784,0.528662,0.801839,0.611047,0.60858
9,0.49467,0.821518,0.676284,0.774259,0.527947,0.531694
10,0.479948,0.825512,0.546277,0.811032,0.627461,0.642981
11,0.473465,0.828382,0.586739,0.792646,0.57962,0.540912
12,0.458296,0.827883,0.484935,0.832482,0.643427,0.65877
13,0.443936,0.839366,0.546548,0.813075,0.623443,0.636627
14,0.433885,0.841363,0.61877,0.79571,0.62366,0.606118
15,0.424161,0.845856,0.534682,0.816139,0.549382,0.5952
16,0.418658,0.848228,0.480206,0.824311,0.659278,0.67365
17,0.40048,0.851348,0.568283,0.806946,0.576736,0.620067
18,0.408846,0.850474,0.539914,0.804903,0.565983,0.601563
19,0.400537,0.849226,0.547475,0.812053,0.677974,0.668776
20,0.377118,0.860584,0.527787,0.816139,0.682892,0.697942
21,0.379009,0.865826,0.511628,0.831461,0.682599,0.67986
22,0.362296,0.869446,0.532379,0.820225,0.639043,0.653222
23,0.368587,0.865701,0.501436,0.820225,0.697203,0.702057
24,0.354568,0.865077,0.481772,0.832482,0.691249,0.703861
25,0.350459,0.868447,0.459527,0.836568,0.710611,0.7207
26,0.332295,0.878058,0.533089,0.834525,0.660853,0.667943
27,0.333359,0.875437,0.528657,0.820225,0.659352,0.652973
28,0.330292,0.877559,0.450978,0.836568,0.75338,0.744446
29,0.315185,0.885547,0.557042,0.820225,0.641929,0.65898
30,0.311789,0.882676,0.623155,0.814096,0.650142,0.637485
31,0.315635,0.880305,0.454132,0.850868,0.691095,0.712457
32,0.306746,0.885796,0.472346,0.827375,0.641306,0.672154
33,0.297346,0.890664,0.459161,0.85189,0.713682,0.737964
34,0.29234,0.894533,0.546641,0.835546,0.668599,0.706617
35,0.291671,0.890414,0.543979,0.830439,0.690448,0.687855
36,0.276914,0.894034,0.513616,0.838611,0.700356,0.697195
37,0.288089,0.891038,0.525552,0.829418,0.65865,0.672554
38,0.27205,0.898777,0.482498,0.830439,0.64558,0.665295
