epoch,train_loss,train_acc,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.927785,0.658013,0.895794,0.642492,0.70706,0.557287
2,0.706783,0.742761,0.911672,0.642492,0.671244,0.518782
3,0.602955,0.783699,0.740781,0.73238,0.713677,0.608509
4,0.52914,0.804918,0.655219,0.762002,0.736701,0.655224
5,0.520624,0.809661,0.648329,0.744637,0.7144,0.681363
6,0.491494,0.820644,0.759608,0.733401,0.725573,0.660855
7,0.463869,0.82314,0.663727,0.73953,0.751855,0.647962
8,0.456752,0.834373,0.701856,0.743616,0.768901,0.71619
9,0.408511,0.849226,0.889112,0.711951,0.748685,0.617887
10,0.413361,0.845981,0.664822,0.767109,0.777525,0.643695
11,0.380482,0.856091,0.776981,0.712972,0.752749,0.608173
12,0.368302,0.861707,0.762121,0.738509,0.758592,0.656432
13,0.346798,0.871692,0.750665,0.757916,0.762493,0.653366
14,0.336787,0.874813,0.637679,0.771195,0.76065,0.716574
15,0.343411,0.874438,0.676336,0.745659,0.747172,0.695451
16,0.34941,0.868447,0.83068,0.737487,0.755028,0.608143
17,0.312903,0.885422,0.606979,0.775281,0.743771,0.713168
18,0.311167,0.884174,0.619857,0.750766,0.759646,0.684214
19,0.300205,0.889291,0.813479,0.696629,0.753895,0.685909
20,0.278113,0.894533,0.511156,0.81716,0.780624,0.720775
21,0.289035,0.889291,0.733488,0.775281,0.805151,0.689623
22,0.29173,0.892037,0.62503,0.769152,0.740726,0.693954
23,0.25678,0.905891,0.629465,0.805924,0.747726,0.697301
24,0.260854,0.905267,0.560284,0.805924,0.769344,0.712837
25,0.257563,0.904144,0.542941,0.80286,0.72091,0.714378
26,0.237005,0.913255,0.704829,0.776302,0.739764,0.711271
27,0.265921,0.899151,0.570252,0.816139,0.746249,0.706919
28,0.232336,0.914129,0.707989,0.780388,0.789164,0.720558
29,0.245414,0.90689,0.640536,0.791624,0.7596,0.703731
30,0.242433,0.912007,0.676477,0.804903,0.768546,0.724175
