epoch,train_loss,train_acc,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.921391,0.684348,0.945681,0.644535,0.244434,0.233867
2,0.822439,0.702072,0.779369,0.712972,0.268071,0.266577
3,0.771746,0.713929,0.778082,0.720123,0.32794,0.3557
4,0.770779,0.718922,0.740687,0.722165,0.370235,0.397337
5,0.733676,0.734523,0.804358,0.713994,0.335082,0.328096
6,0.708087,0.740265,0.758167,0.728294,0.315055,0.352851
7,0.67829,0.750125,0.700836,0.750766,0.377325,0.427331
8,0.66653,0.755367,0.701373,0.73238,0.430413,0.451711
9,0.654703,0.75699,0.717664,0.736466,0.482326,0.492438
10,0.637674,0.761982,0.755434,0.726251,0.377764,0.414791
11,0.627582,0.771468,0.707677,0.74668,0.425108,0.407088
12,0.611517,0.775212,0.596031,0.782431,0.462209,0.500458
13,0.595658,0.782327,0.667331,0.75383,0.480816,0.485213
14,0.607231,0.777708,0.64641,0.763023,0.448026,0.47859
15,0.594042,0.784448,0.700833,0.742594,0.546212,0.53182
16,0.5729,0.788942,0.657211,0.755873,0.438302,0.48538
17,0.579263,0.785322,0.573662,0.78141,0.546989,0.560709
18,0.554124,0.78969,0.62933,0.771195,0.555548,0.555931
19,0.540041,0.801672,0.568139,0.793667,0.586702,0.600735
20,0.54236,0.798677,0.594074,0.774259,0.560909,0.567605
21,0.536205,0.802172,0.652131,0.780388,0.462735,0.514316
22,0.532484,0.80342,0.602474,0.800817,0.603727,0.594124
23,0.519884,0.808912,0.68016,0.738509,0.564787,0.553954
24,0.523782,0.805791,0.611513,0.767109,0.596598,0.595809
25,0.518603,0.803919,0.595784,0.785495,0.523217,0.56458
26,0.500899,0.81303,0.652939,0.759959,0.591753,0.608473
27,0.497977,0.815776,0.634042,0.782431,0.556682,0.571449
28,0.498237,0.819895,0.720433,0.751788,0.567169,0.537001
29,0.487249,0.819521,0.550083,0.81001,0.611621,0.672166
30,0.47109,0.821643,0.617205,0.780388,0.620239,0.60877
31,0.464802,0.822641,0.599532,0.772217,0.567994,0.573314
32,0.472878,0.821393,0.562251,0.79571,0.638703,0.635291
33,0.459737,0.827259,0.631103,0.776302,0.590239,0.578923
34,0.448996,0.829631,0.630362,0.780388,0.606904,0.601233
35,0.44418,0.834498,0.601862,0.793667,0.544937,0.606414
36,0.437409,0.834998,0.544153,0.808989,0.62338,0.639943
37,0.433275,0.834124,0.607261,0.791624,0.645715,0.625353
38,0.42319,0.841862,0.575627,0.791624,0.57383,0.580876
39,0.423084,0.842611,0.55928,0.81001,0.560605,0.608084
40,0.418216,0.845232,0.632106,0.784474,0.642313,0.607728
41,0.410322,0.844358,0.561252,0.800817,0.587623,0.604681
42,0.398478,0.849975,0.555195,0.805924,0.605871,0.637705
43,0.389298,0.852846,0.638919,0.798774,0.644702,0.641939
44,0.400807,0.84361,0.605067,0.800817,0.600741,0.639698
45,0.389437,0.854718,0.563262,0.804903,0.600806,0.617169
46,0.388469,0.854094,0.690964,0.779367,0.666998,0.621136
