epoch,train_loss,train_acc,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.696086,0.749001,0.569683,0.782431,0.58248,0.565082
2,0.523538,0.809411,0.498833,0.804903,0.632869,0.649975
3,0.444335,0.837993,0.531148,0.792646,0.719904,0.68627
4,0.403658,0.856715,0.535599,0.807967,0.722929,0.641525
5,0.370986,0.867074,0.488111,0.828396,0.653144,0.679473
6,0.332631,0.878557,0.582522,0.833504,0.681272,0.682664
7,0.307357,0.886545,0.553178,0.794688,0.729265,0.694625
8,0.281802,0.89678,0.538576,0.833504,0.685128,0.710649
9,0.263845,0.903645,0.603706,0.824311,0.754041,0.723365
10,0.252035,0.908387,0.515804,0.837589,0.675515,0.685529
11,0.226337,0.917124,0.646366,0.824311,0.673528,0.667774
12,0.217187,0.920994,0.667908,0.824311,0.687769,0.682055
13,0.203181,0.927484,0.543397,0.838611,0.694773,0.713293
14,0.180294,0.9331,0.585731,0.816139,0.749758,0.708901
15,0.177075,0.93647,0.55547,0.833504,0.725385,0.7297
